CustomerID,Gender,Age,Geography,Tenure,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,StreamingTV,OnlineSecurity,Churn
CUST00732,Female,45,New York,66,Month-to-month,Fiber optic,Bank transfer,96.89,6893.51,no,No,No,Yes
CUST00781,Female,27,New York,44,Month-to-month,DSL,electronic check,84.79,3531.29,no,Yes,No,No
CUST00043, Male,31,Florida,37,Month-to-month,Fiber optic,Credit card,58.73,1996.38,Yes,Yes,No,No
CUST00154,Male,31,California,39,One year,Fiber optic,Mailed check,86.44,3293.87,Yes,Yes,No,no
CUST00490,Female,18,Texas,29,One year,Fiber optic,Bank transfer,66.12,1676.97,Y,No,no,Yes
CUST00960,Female,18,California,48,Month-to-month,fiber optic,Mailed check,100.33,4683.09,Y,yes,Yes,1
CUST00269,M,59,Florida,26,One year,No,Mailed check,65.42,1579.45,Y,no,No,No
CUST00584,Male,69,Florida,29,One year,Fiber optic,Mailed check,102.51,2948.94,Y,No,No,no
CUST00122,Male,57,New York,32,Month-to-month,Fiber optic,Bank transfer,53.63,1736.39,No,No,NO,yes
CUST00112,M,23,California,57,month-to-month,No,electronic check,41.68,2068.73,No,Yes,Yes,Yes
CUST00920,Male,49,california,65,One year,Fiber optic,Bank transfer,70.96,5033.86,Yes,No,no,0
CUST00127,Male,47,Florida,51,Month-to-month,DSL,,102.01,5436.43,Yes,N,Y,FALSE
CUST00725,Female,59,New York,2,One year,DSL,Electronic check,88.45,185.27,YES,No,No,No
CUST00474,female ,46,New York,67,Two year,fiber optic,Mailed check,107.3,6168.89,N,Yes,yes,0
CUST00146,Female,40,California,47,Month-to-month,Fiber optic,Electronic check,38.68,2055.48,No,Yes,Yes,No
CUST00995,Female,46, Florida,65,Two year,DSL,Bank transfer,44.56,2587.66,Yes,Yes,No,no
CUST01089,Male,24,,63,Month-to-month,DSL,Mailed check,61.66,4016.94,Yes,No,No,1
CUST00173,Female,58,TEXAS,6,One year,No,Electronic check,42.17,218.91,No,Y,No,Y
CUST00356,female ,45,TEXAS,36,month-to-month,DSL,Mailed check,22.3,754.71,No,No,no,No
CUST00219,Female,18,Texas,5,Month-to-month,Fiber optic,Mailed check,47.39,267.85,No,Yes,no,No
CUST01092, Male,55,California,1,Two year,DSL,,62.26,70.27,yes,Yes,No,0
CUST00583,Male,50,Texas,16,,Fiber optic,Electronic check,24.13,395.53,Yes,Yes,Yes,no
CUST00293,Male,46,California,9,Two year,DSL,Credit card,22.33,208.24,Yes,No,No,No
CUST00802,Male,32,TEXAS,53,One year,DSL,Credit card,116.85,6241.26,No,No,Yes,No
CUST00296,Male,30,california,10,Month-to-month,DSL,Mailed check,100.27,1112.38,yes,Yes,No,
CUST01009,Male,18,Texas,13,Two year,DSL,Electronic check,-50.5,-704.88,Yes,No,Yes,yes
CUST00587,Male,45,California,31,Month-to-month,DSL,Electronic check,31.45,1046.88,no,yes,Yes,Yes
CUST00780,Female,51,california,52,One year,DSL,Bank transfer,32.18,1650.94,No,No,no,no
CUST00080,Female,61,Texas,25,month-to-month,DSL,Bank transfer,56.43,1312.06,N,no,No,Yes
CUST00232,Female,50,California,7,Month-to-month,DSL,Electronic check,60.97,372.15,Yes,Yes,No,
CUST00975,Female,49,New York,34,Month-to-month,Fiber optic,,98.06,3682.15,no,no,Yes,no
CUST00265,Female,37,Texas,55,month-to-month,Fiber optic,Electronic check,0.0,0.0,Y,No,Yes,Y
CUST00209,Female,28,Florida,0,Month-to-month,No,,82.55,0.0,no,yes,Y,no
CUST00608,F,45,Texas,38,month-to-month,Fiber optic,electronic check,50.09,1625.99,No,Yes,No,N
